milestone_id,study_id,name,planned_date,actual_date,status
MS0010101,STD00101,Last Patient Out,2024-12-12,2024-11-23,In Progress
MS0010102,STD00101,Interim Analysis,2023-03-23,,Planned
MS0010103,STD00101,Interim Analysis,2024-11-29,2024-11-11,Completed
MS0010104,STD00101,Interim Analysis,2025-10-20,,At Risk
MS0010201,STD00102,First Patient In,2025-06-07,2025-05-27,Completed
MS0010202,STD00102,Data Lock,2023-05-18,2023-05-13,At Risk
MS0010203,STD00102,Interim Analysis,2025-05-19,2025-05-14,Completed
MS0010204,STD00102,NDA Submission,2023-10-05,2023-09-13,Planned
MS0010301,STD00103,Data Lock,2025-10-09,2025-09-18,Planned
MS0010302,STD00103,Last Patient Out,2024-01-01,,Completed
MS0010303,STD00103,Interim Analysis,2025-04-21,,Completed
MS0010304,STD00103,NDA Submission,2024-02-06,2024-01-14,Delayed
MS0020101,STD00201,Final Report,2025-09-11,2025-09-05,In Progress
MS0020102,STD00201,Last Patient Out,2023-06-06,,At Risk
MS0020103,STD00201,First Patient In,2023-10-21,2023-10-10,In Progress
MS0020104,STD00201,First Patient In,2025-11-21,,In Progress
MS0020201,STD00202,Last Patient Out,2024-02-18,2024-01-31,Planned
MS0020202,STD00202,Final Report,2025-06-04,2025-05-20,Planned
MS0020203,STD00202,Data Lock,2025-03-17,2025-03-12,At Risk
MS0020204,STD00202,First Patient In,2024-10-02,,Completed
MS0020301,STD00203,First Patient In,2025-03-31,2025-03-29,In Progress
MS0020302,STD00203,Data Lock,2023-08-01,,Planned
MS0020303,STD00203,Data Lock,2023-11-28,2023-11-11,At Risk
MS0020304,STD00203,NDA Submission,2023-11-30,2023-11-01,Delayed
MS0030101,STD00301,Interim Analysis,2024-03-05,2024-02-14,At Risk
MS0030102,STD00301,NDA Submission,2023-03-19,,Planned
MS0030103,STD00301,Interim Analysis,2023-11-10,2023-10-19,Planned
MS0030104,STD00301,First Patient In,2025-12-28,2025-11-28,Completed
MS0030201,STD00302,First Patient In,2025-08-29,2025-07-31,At Risk
MS0030202,STD00302,Final Report,2023-07-15,2023-07-06,At Risk
MS0030203,STD00302,Final Report,2025-09-12,,Completed
MS0030204,STD00302,NDA Submission,2025-03-13,2025-03-02,Completed
MS0030301,STD00303,First Patient In,2024-06-28,,In Progress
MS0030302,STD00303,Interim Analysis,2024-04-23,,Planned
MS0030303,STD00303,NDA Submission,2023-09-01,,Planned
MS0030304,STD00303,Last Patient Out,2023-11-11,2023-11-07,At Risk
MS0040101,STD00401,First Patient In,2023-09-07,,In Progress
MS0040102,STD00401,Last Patient Out,2025-12-22,2025-11-22,At Risk
MS0040103,STD00401,First Patient In,2025-06-12,2025-06-05,At Risk
MS0040104,STD00401,First Patient In,2025-07-04,2025-06-14,At Risk
